time(s);Area(m2);RunoffDepth(mm);RainDepth(mm);RainRate(mm/h);InfiltrationDepth(mm);InfiltrationRate(mm/h);GroundwaterVol(m3);GroundwaterSatDepth(mm);SoilSaturation(-);ET_Depth(mm);ET_Rate(mm/h);PercolationDepth(mm);PercolationRate(mm/h);ExfiltrationRate(mm/h) ;ExfiltrationDepth(mm)
 0.0000000000E+000; 0.4245450166E+006; 0.1310036995E+001; 0.6013470017E-153; 0.6013470017E-153; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.1089338746E+001; 0.4245450166E+006; 0.1310036995E+001;               NaN;               NaN; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.2103144161E+001; 0.4245450166E+006; 0.1310036995E+001;               NaN;               NaN; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.3128541971E+001; 0.4245450166E+006; 0.1310036995E+001;               NaN;               NaN; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.4012846543E+001; 0.4245450166E+006; 0.1310036995E+001;               NaN;               NaN; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.5014066529E+001; 0.4245450166E+006; 0.1310036995E+001;               NaN;               NaN; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.6092637478E+001; 0.4245450166E+006; 0.1310036995E+001;               NaN;               NaN; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.7145370987E+001; 0.4245450166E+006; 0.1310036995E+001;               NaN;               NaN; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.8146709985E+001; 0.4245450166E+006; 0.1310036995E+001;               NaN;               NaN; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.9080913387E+001; 0.4245450166E+006; 0.1310036995E+001;               NaN;               NaN; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
